CHV,synonym
C0000097,mptp
C0000102,alpha-naphthylamine
C0000163,"17 hydroxycorticoids,17-hydrocorticosteroids,17-hydroxycorticosteroid,17-ketogenic steroid"
C0000167,"17 ketosteroid,17 ketosteroids,17-ketosteroid"
C0000263,2-aminopurine
C0000268,bol
C0000379,"mda,methylenedioxyamphetamine"
C0000392,beta-alanine
C0000473,"p-aminobenzoic acid,paba,para aminobenzoic acid,para-aminobenzoic acid,para-aminobenzoic acid product"
C0000477,4 aminopyridine
C0000481,gamma butyrolactone
C0000503,"4-hydroxybutyrate,gamma hydroxybutyrate,gamma-hydroxybutyrate"
C0000530,"5 nucleotidase,5' nucleotidase,5-nucleotidase"
C0000545,"acid eicosapentaenoic,timnodonic acid"
C0000578,"5 htp,5 hydroxy tryptophan,5 hydroxytryptophan,5-htp,5-hydroxy tryptophan,oxitriptan"
C0000598,ticlopidine hcl
C0000608,"acid aminocaproic,epsilon aminocaproic acid,epsilon-aminocaproic acid"
C0000618,"6 mercaptopurine,6-mp,6-thiopurine,mercaptopurine"
C0000665,"8 hydroxyquinoline,8-hydroxyquinoline,oxyquinoline"
C0000677,"dimethylbenzanthracene,dmba"
C0000696,a fiber
C0000702,"a dna,a-dna"
C0000715,slaughterhouse
C0000723,abbreviations
C0000726,"abd,abdominopelvic regions"
C0000727,"abdomen acute,acute abdominal syndrome,surgical abdomen"
C0000729,"abdominal cramp,abdominal cramping,cramps abdominal,crampy abdominal pain"
C0000731,"abdomen distended,abdominal distension,abdominal distention,abdominal swelling,abdominal swellings,distended abdomen,swelling of abdomen,swollen abdomen"
C0000734,"abdomen lump,abdomen lumps,abdomen mass,abdomen masses,abdominal lump,abdominal lumps,abdominal mass,abdominal masses,lump abdomen,lump abdominal,mass abdomen,mass abdominal,mass in abdomen"
C0000735,"abdomen tumors,abdomen tumours,abdominal neoplasm,abdominal tumors,abdominal tumours,abdominals tumors,tumor abdomen,tumor abdominal,tumor of abdomen"
C0000737,"abdomen pain,abdominal pains,gut pain"
C0000739,"abdominal muscle,abdominal wall muscle"
C0000741,"abducent nerve,abductor digiti minimi,sixth cranial nerve"
C0000744,"bassen kornzweig syndrome,bassen-kornzweig disease,bassen-kornzweig syndrome"
C0000766,"abnormal x rays,abnormal xrays,x-ray abnormal"
C0000768,"abnormal development,birth defects,congenital abnormalities,congenital abnormality,congenital anomalies,congenital anomaly,congenital defect,congenital defects,congenital deformity,congenital malformation,congenital malformations,developmental defect,dysgenesis,dysmorphism,dysmorphisms,fetal anomaly,fetal malformation"
C0000772,"abnormalities congenital multiple,anomalies multiple,multiple congenital anomaly"
C0000778,"abo blood group,abo blood groups,abo group,abo grouping,abo groups,abo system,blood group abo,h blood group"
C0000781,aborted fetuses
C0000782,abortifacients
C0000786,"abortion spontaneous,abortions spontaneous,miscarriage of pregnancy,miscarriage pregnancy,miscarriages,miscarriages pregnancy,pregnancy miscarriage,spontaneous abortion,spontaneous abortions"
C0000790,"abortion previous,abortions history"
C0000791,"abortion law,law abortion"
C0000794,"abortion rate,abortions rates"
C0000804,"abortion illegal,criminal abortion,illegal abortions"
C0000809,"abortion habitual,abortion recurrent,habitual aborter,habitual abortion,habitual abortions,miscarriage recurrent,recurrent abortion,recurrent abortions,recurrent miscarriages"
C0000814,"abortion miss,abortion missed,miss abortion,missed abortions,missed miscarriage"
C0000817,abortion septic
C0000820,"abortion therapeutic,abortions therapeutic,therapeutic abortions"
C0000821,"abortion threatened,miscarriage threatening,threaten abortion,threatened miscarriage"
